Legacy record number,Input Date (yyyy/mm/dd),Organisation Code,Organization name,Organization type,Area of expertise,Assessment?,Emergency Response?,Recovery?,Sector,Region (if not a country) (free text),Country,Island Name,Location,Beneficiaries,Project description,Project Status,Start date (yyyy/mm/dd),End date (yyyy/mm/dd),Unique ID
2,2017/09/06,IFRC,Antigua and Barbuda Red Cross,Red Cross and Red Crescent Movement,Management,,YES,,,,Antigua and Barbuda,Antigua and Barbuda,Various,,"Initial CHF 61,418 - approval of Disaster Relief Emergency Fund (DREF) for support to pre-strike and immediate response operations ",Ongoing,,,270
54,2017/09/12,British RC,British RC,Red Cross and Red Crescent Movement,Response,,YES,,,,Anguilla,,,,"British Red Cross appeal open for Anguilla, British Virgin Islands, and Turks & Caicos. The UK Government will match public donations to the British Red Cross appeal. The three affected branches prepared for the hurricane by activating their contingency plans and checklists. They are coordinating with their governments.The British Red Cross is monitoring the situation, and is deploying two Psychosocial Support Team members and 6 emergency response team members to the affected areas. However, airport access remains unclear so it is not possible to give an arrival date in country at this time.",Planned,,,269
55,2017/09/12,British RC,British RC,Red Cross and Red Crescent Movement,Response,,YES,,,,British Virgin Islands,,,,"British Red Cross appeal open for Anguilla, British Virgin Islands, and Turks & Caicos. The UK Government will match public donations to the British Red Cross appeal. The three affected branches prepared for the hurricane by activating their contingency plans and checklists. They are coordinating with their governments.
The British Red Cross is monitoring the situation, and is deploying two Psychosocial Support Team members and 6 emergency response team members to the affected areas. However, airport access remains unclear so it is not possible to give an arrival date in country at this time.",Planned,,,268
56,2017/09/12,British RC,British RC,Red Cross and Red Crescent Movement,Response,,YES,,,,Turks and Caicos Islands,,,,"British Red Cross appeal open for Anguilla, British Virgin Islands, and Turks & Caicos. The UK Government will match public donations to the British Red Cross appeal. The three affected branches prepared for the hurricane by activating their contingency plans and checklists. They are coordinating with their governments. The British Red Cross is monitoring the situation, and is deploying two Psychosocial Support Team members and 6 emergency response team members to the affected areas. However, airport access remains unclear so it is not possible to give an arrival date in country at this time.",Planned,,,267
68,2017/09/12,CARC,Canadian Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Dominican Republic,,,,Canadian Red Cross are also in country supporting the DRC with assessments.,Ongoing,,,266
38,2017/09/12,CANTO,CANTO,Commercial association,Emergeny Communicationsc,,YES,,,,Barbados,TCI,,,"2 M Euros first assigned to support response efforts in the region (possible distribution tbc - 1.6 M EUR for Cuba, 210 000 for Antigua and Barbuda, 80 000 St. Maarten, 60 000 TCI, 50 000 SKN); 250.000 assigned to Dominica for logistics and food assistance.1 ECHO staff deployed to Dominica. Offers from Belgium, UK and France have been accepted by Dominica Authorities. Belgium foreseen to arrive in Dominica with Water Purification Module (15 pax) on 27/09. A EUCP team (3 experts + ERCC Liaison Officer) has arrived on 27/09. 8 Copernicus maps showing the damage in Roseau and Canefield produced. Additionally, UK has offered more water purification cubes, aqua tabs, buckets, and 1 filtration system. 



",,,,
,2017/10/06,CARPHA,CARICOM- Public Health,Intergovernmental,Health,YES,YES,YES,,,,,,,,,,,265
114,2017/09/14,CARPHA,CARICOM- Public Health,Intergovernmental,Health ,,YES,,,,Antigua and Barbuda,Barbuda,Barbuda,,•,,,,264
112,2017/09/14,CARPHA,CARICOM- Public Health,Intergovernmental,Health ,YES,,,,,British Virgin Islands,Tortola,Tortola,,Personnel deployed to the BVI on September 10 as part of the CDEMA RNAT. Worked with the Ministry of Health and PAHO to conduct assessments of health facilities and shelters; provided support to Ministry of Health in assessment of vector control situation. ,Ongoing,,,261
113,2017/09/14,CARPHA,CARICOM- Public Health,Intergovernmental,Health ,,YES,,,All impacted states ,,All impacted states ,all,,"CARPHA is working closely with PAHO to coordinate the vector control response. Entomologists, vector control specialists, suppliers of insecticides, bed nets, equipment, etc have been identified.  A list of available resources is currently being generated.",ongoing,,,260
28,2017/09/11,CDB,CDB,Internatioanal Financial Institution,Development Banking,,YES,,,Region,,Regional,,,"CDB has approved a grant of 150,000 to CDEMA CU to assist in the conduct of Damage assessment in the affected countries; Emegency Relief Grant of 200,000 being processed for Antigua and Barbucleda; ERG grant has been offered to the remaining impacted states; Immediate Response Loans (IRL) facility of 750,000 to assist with debris clean up and clearance has been offered to the affected countries and currently processing same for Antigua and Barbuda.",Planned,,,259
66,2017/09/12,Cuban RC,Cuban RC,Red Cross and Red Crescent Movement,Assessment,YES,,,,,Cuba,,,,"The Government of Cuba deployed armed forces, medical staff, and search-and-rescue teams to support initial response activities and has identified 40,000 metric tons (MT) of food available to assist hurricane-affected households. Authorities have also distributed chlorine and is conducting activities to clean",Ongoing,,,257
123,2017/09/15,,Cuban Red Cross,Red Cross Red Crescent Movement,Response,,YES,,,,Cuba,,,,,,,,256
124,2017/09/15,,Cuban Red Cross,Red Cross Red Crescent Movement,Response,,YES,,,,Cuba,,,,,Support to accelerate return to schools,,,255
125,2017/09/15,,Cuban Red Cross,Red Cross Red Crescent Movement,Response,,YES,,,,Cuba,,,,,Learning and recreational resources to support students,,,254
126,2017/09/15,,Cuban Red Cross,Red Cross Red Crescent Movement,Response,,YES,,,,Cuba,,,,,Support to integration of Barbuda students into Antigua schools,,,253
60,2017/09/12,CRC,Cuban Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Cuba,,,,"7,340 CRC volunteers deployed throughout the country, providing first aid, psychosocial support and helping families restore contacts with their relatives and people who they cannot locate after the hurricane",Ongoing,,,252
61,2017/09/12,CRC,Cuban Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Cuba,,,,CRC is supporting the Government with search and rescue.,Ongoing,,,251
62,2017/09/12,CRC,Cuban Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Cuba,,,,"In the Ciego de Avila province, CRC teams evacuated more than 1,000 seniors living in care centres. In Las Tunas, RC teams focused their activities on relief and rescue as rivers overflow and flooding endangers the people in this province.",Ongoing,,,250
64,2017/09/12,CRC,Cuban Red Cross,Red Cross and Red Crescent Movement,Assessment,YES,,,,,Cuba,,,,IFRC Communications delegate deployed to Cuba and supporting the Cuban Red Cross (CRC). Additional IFRC delegates on stand-by to be deployed to support he CRC with assessments and to coordinate further Movement response mechanisms.,Planned,,,249
65,2017/09/12,CRC,Cuban Red Cross,Red Cross and Red Crescent Movement,Assessment,YES,,,,,Cuba,,,,The Norwegian Red Cross has deployed its Deputy Regional Representative for the Americas to Cuba to support the CRC.,Planned,,,248
67,2017/09/12,DOMRC,Domincan Republic Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Dominican Republic,,,,"Dominican Red Cross (DRC) volunteers are supporting national and local authorities in shelter management and providing support to hurricane-affected populations. DRC specialized teams including Epidemic Control for Volunteers and water, sanitation and hygiene promotion are being mobilized to the affected areas",Ongoing,,,247
29,2017/09/11,ECHO,ECHO,EU,Multi sector,,YES,,,All Caribbean islands,,,,,2 M Euros assigned to support response efforts in the region; 1 ECHO staff deployed to Antigua from tuesday 12/09; 1 ECHO staff on standby to join TCI assessments team; 1 ECHO staff to be deployed to Cuba,Planned,,,246
70,2017/09/12,FRC,French Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Saint Martin (French part),,,,French Red Cross appeal for donations is active to support the Caribbean Regional Intervention Platform (PIRAC) in the French territories,Planned,,,245
71,2017/09/12,FRC,French Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Saint Martin (French part),,,,"A French Red Cross Restoring Family Links team landed in Guadeloupe; they are setting up their systems, and they should be deployed to St Martin soon. This teams joins the surge support deployed (25 volunteers) in previous days waiting to reach Saint Martin and Saint Barthélemy.",Planned,,,244
72,2017/09/12,FRC,French Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Saint Martin (French part),,,,Guadeloupe and Martinique branches mobilizing volunteers for assistance to Saint Martin.,Planned,,,243
73,2017/09/12,FRC,French Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Saint Martin (French part),,,,French Red Cross volunteers were among the first humanitarian teams to arrive to Saint Martin by boat jointly with member of civil protection and police forces,Ongoing,,,242
74,2017/09/12,FRC,French Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Saint Martin (French part),,,,RC volunteers established a logistics base to facilitate coordination and relief activities,Ongoing,,,241
75,2017/09/12,FRC,French Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Saint Martin (French part),,,,"300 family kits have been deployed (for 1,200 affected people).",Ongoing,,,240
76,2017/09/12,FRC,French Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Saint Martin (French part),,,,French Red Cross also mobilized its Restoring Family Links services.,Ongoing,,,239
,2017/10/04,GAC,Global Affairs Canada,Government,Response support,,Yes,,"Food, telecommunications, logistics",,Dominica,,,,"CAD$300,000 is being released to WFP in response to the OCHA flash appeal for Dominica. It will be used to support food security; logistics and emergency telecommunications interventions.",Ongoing,2017/10/03,,238
,2017/10/04,GAC,Global Affairs Canada,Government,Response support,,Yes,,Health,,Dominica,,,,"CAD$200,000 is being released to PAHO in response to the OCHA flash appeal for Dominica. It will be used to support the provision of health services, WASH and sexual and reproductive health interventions.",Ongoing,2017/10/03,,237
119,2017/09/15,GAC,Global Affairs Canada,Government,Response,,YES,,,,Turks and Caicos Islands,,,,•,Strengthen capacity of caregivers and provide Early Childhood Development kits,,,236
107,2017/09/14,GAC,Global Affairs Canada,Government,Response,,YES,,,,Antigua and Barbuda,,,,•,,,,235
108,2017/09/14,GAC,Global Affairs Canada,Government,Response,,YES,,,,Antigua and Barbuda,Barbuda,,,•,,,,234
104,2017/09/14,GAC,Global Affairs Canada,Government,Response,,YES,,,,British Virgin Islands,Tortola,,500 familes,"Global Affairs funded supplies are being provided through the Canadian Red Cross to the BVI. Supplies arriving by Canadian Air Force include tarpaulins, buckets, kitchen sets, mosquito nets and others supplies.",Planned,,,233
107,2017/09/14,GAC,Global Affairs Canada,Government,Response,,YES,,,,Saint Kitts and Nevis,,,,"CAD$45,000 released to joint Red Cross appeal.",Planned,,,232
105,2017/09/14,GAC,Global Affairs Canada,Government,Response,,YES,,,,Turks and Caicos Islands,Providenciales,,,"Global Affairs funded Canadian Red Cross supplies delivered by WestJet included tarpaulins, hygiene kits, 10L jerrycans, kitchen sets, blankets, buckets.",Ongoing,,,231
109,2017/09/14,GAC,Global Affairs Canada,Government,Response,,YES,,,,Turks and Caicos Islands,,,,7 member Canadian Damage Assessment Team landed and assessed the status on the ground to inform decisions on further assets required.,Ongoing,,,230
106,2017/09/14,GAC,Global Affairs Canada,Government,Response,,YES,,,Region,,,,,"CAD$100,000 made available to CDEMA, awaiting project documentation to action.",Planned,,,229
110,2017/09/14,GAC,Global Affairs Canada,Government,Response,,YES,,,Region,,,,,"CAD$250,000 released to PAHO appeal",Planned,,,228
111,2017/09/14,GAC,Global Affairs Canada,Government,Response,,YES,,,Region,,,,,HMCS St Johns continues to head towards the region. Actual mission will be determined based on the recommendations of the CDAT.,Planned,,,227
77,2017/09/12,HTRC,Haitian Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Haiti,,,,"HRCS mobilized resources jointly with Movement partners’ support (American, Canadian, German, Spanish Red Cross, French Red Cross, Swiss Red Cross and ICRC).",Ongoing,,,226
134,2017/09/15,IFRC,IFRC,Red Cross Red Crescent Movement,Response,,YES,,,,Cuba,,,,,(other islands as needed),,,225
93,2017/09/12,IFRC,IFRC,Red Cross and Red Crescent Movement,Response,,YES,,,,Antigua and Barbuda,,,,"In the upcoming days, 3 additional RITs will be deployed: 1 general RIT (St Kitts and Nevis), 1 psychosocial support (Antigua & Barbuda), 1 CTP (Antigua & Barbuda), as well 1 FACT for shelter (Antigua & Barbuda).",Planned,,,224
94,2017/09/12,IFRC,IFRC,Red Cross and Red Crescent Movement,Response,,YES,,,,Antigua and Barbuda,,,,"Pre-positioning of non-food items ongoing for following Red Cross National Societies: Antigua and Barbuda, St Kitts and Nevis.",Ongoing,,,223
95,2017/09/12,IFRC,IFRC,Red Cross and Red Crescent Movement,Response,,YES,,,,Antigua and Barbuda,,,,IFRC is also sharing key messages to the affected population and with Red Cross National Societies,Ongoing,,,222
96,2017/09/12,IFRC,IFRC,Red Cross and Red Crescent Movement,Response,,YES,,,,Antigua and Barbuda,,,2500,"Emergency Appeal for Antigua &  Barbuda and St. Kitts and Nevis,CHF 1,128,171",Planned,,,221
69,2017/09/12,IFRC,IFRC,Red Cross and Red Crescent Movement,Response,,YES,,,,Dominican Republic,,,,"IFRC has set its health response roster on standby. The roster is composed of IFRC regional staff located in different countries, including staff from the Zika Caribbean project.composed of IFRC regional staff located in different countries, including staff from the Zika Caribbean project.",Planned,,,220
97,2017/09/12,IFRC,IFRC,Red Cross and Red Crescent Movement,Response,,YES,,,,Dominican Republic,,,1000,"Disaster Relief Emergency Fund approuved 298,588 chf",Planned,,,219
98,2017/09/12,IFRC,IFRC,Red Cross and Red Crescent Movement,Response,,YES,,,,Haiti,,,1000,"Disaster Relief Emergency Fund approuved 298,588 chf",Planned,,,218
92,2017/09/12,IFRC,IFRC,Red Cross and Red Crescent Movement,Response,,YES,,,,Saint Kitts and Nevis,,,,"At least 7 surge staff are currently deployed. On 12 September, 2 specialists in cash transfer will be deployed (1 Regional Intervention Team member – RIT to St Kitts and Nevis, and a Spanish Red Cross delegate to Antigua & Barbuda).",Ongoing,,,217
63,2017/09/12,IFRC,International Federation of Red Cross and Red Crescent Societies,Red Cross and Red Crescent Movement,Response,,YES,,,,Cuba,,,,571 aid and response groups active on the ground now providing services throughout the country,Ongoing,,,216
39,2017/09/12,IOM,IOM,UN,GBV Risk Reduction,YES,YES,,,,Antigua and Barbuda,Antigua and Barbuda,Various,,Advice on actions aimed to reduce the risk of GBV occurring in the displacement settings,Ongoing,,,215
39,2017/09/12,IOM,IOM,UN,GBV Risk Reduction,YES,YES,,,,Barbados,Barbados,Various,,Advice on actions aimed to reduce the risk of GBV occurring in the displacement settings,Ongoing,,,214
23,2017/09/10,IOM,IOM,UN,Displacement Tracking,YES,YES,,,,Antigua and Barbuda,Antigua and Barbuda,Various,,Compilation of displacement data originated from secondary sources,Ongoing,,,213
24,2017/09/10,IOM,IOM,UN,Shelter Operations,YES,YES,,,,Antigua and Barbuda,Antigua and Barbuda,Various,,Assessment and distribution of shelter materials to affected and displaced populations,Ongoing,,,212
25,2017/09/10,IOM,IOM,UN,Shelter Coordination,YES,YES,,,,Antigua and Barbuda,Antigua and Barbuda,Various,,Coordination of the actions of different shelter actors on the ground,Ongoing,,,211
26,2017/09/10,IOM,IOM,UN,IM Support,YES,YES,,,,Antigua and Barbuda,Antigua and Barbuda,Various,,Relaying information of developments on the ground,Ongoing,,,210
23,2017/09/10,IOM,IOM,UN,Displacement Tracking,YES,YES,,,,Barbados,Barbados,Various,,Compilation of displacement data originated from secondary sources,Ongoing,,,209
24,2017/09/10,IOM,IOM,UN,Shelter Operations,YES,YES,,,,Barbados,Barbados,Various,,Assessment and distribution of shelter materials to affected and displaced populations,Ongoing,,,208
25,2017/09/10,IOM,IOM,UN,Shelter Coordination,YES,YES,,,,Barbados,Barbados,Various,,Coordination of the actions of different shelter actors on the ground,Ongoing,,,207
26,2017/09/10,IOM,IOM,UN,IM Support,YES,YES,,,,Barbados,Barbados,Various,,Relaying information of developments on the ground,Ongoing,,,206
19,2017/09/10,IOM,IOM,UN,Shelter Management,YES,YES,,,,Dominican Republic,Hispaniola,Various,,Operations and Coordinations for shelter activities,Ongoing,,,205
27,2017/09/10,IOM,IOM,UN,Protection,,YES,,,,Haiti,Hispaniola,Various,1550,"On 10 September, IOM distributed core NFIs to a total of 1,550 individuals (292 families) sheltered in the emergency evacuation centres in Ouanaminthe in collaboration with the COUD, DPC, World Food Programme (WFP) and the local authorities.",Completed,,,204
20,2017/09/10,IOM,IOM,UN,CCCM,YES,YES,,,Regional (based in Panama City),,n/a,Various,,Support for all islands on Camp Coordination and Camp Management Topics,Ongoing,,,203
21,2017/09/10,IOM,IOM,UN,Emergency Coordination,YES,YES,,,Regional (based in Panama City),,n/a,Various,,General coordination for the emergency response,Ongoing,,,202
22,2017/09/10,IOM,IOM,UN,IM Support,YES,YES,,,Regional (based in Panama City),,n/a,Various,,Secondary data review and 3W updating,Ongoing,,,201
5,2017/09/07,IOM,IOM,UN,NFI,,YES,,,,Haiti,Hispaniola,Various,72,"On 7 September, IOM’s Protection Team evacuated 72 children from an orphanage at risk of flooding in collaboration with the Cap-Haitian Advancement Action Committee (CAPAC) and the Institute of Social Welfare and Research (IBESR)",Completed,,,200
117,2017/09/14,USAID,NEMA,Donor,Response,,YES,,,,Bahamas,The Bahamas,,15000,"UNICEF worked with partners including WFP, Mission of Hope and the British Army to ensure that jerry cans and water purification tablets were distributed to 230 families in Grand Turk. The agency  contributed 10 water tanks (5,000L) which reached 235 families as part of a British Army airlift of 18 tons of relief items on October 1 to Grand Turks. UNICEF’s materials were distributed on the ground by Mission of Hope and Social Services.",Ongoing,,,199
129,2017/09/14,,Netherlands Red Cross,Red Cross Red Crescent Movement,Response,,YES,,,,Netherlands (the),Saba,,,,Ongoing,,,198
130,2017/09/14,,Netherlands Red Cross,Red Cross Red Crescent Movement,Response,,YES,,,,Netherlands (the),Saba,,,"Sint Maarten’s 10 man strong volunteer team plus manager have been reinforced with a team of 1 operation leader, 1 assessment leader, 1 information manager, 1 WASH delegate, 2x13 volunteer teams. The team of 3 Restoring Family Links (RFL) delegates and 5-member team of Swiss Red Cross Logistics Emergency Response Unit (ERU) arrived on Curacao on 13 September. 3 more relief/ distribution coordinators/ office manager will fly to Curacao on Saturday. 2 shelter delegates will also fly on short notice, as well as 1 finance ops.",Ongoing,,,197
131,2017/09/14,,Netherlands Red Cross,Red Cross Red Crescent Movement,Response,,YES,,,,Netherlands (the),Saba,,,"NLRC is involved in distribution of goods, taking inventory of stocks, registering evacuees, RFL. Future role in shelter, WASH, soup kitchens and cash transfer programming.",Ongoing,,,196
132,2017/09/14,,Netherlands Red Cross,Red Cross Red Crescent Movement,Response,,YES,,,,Netherlands (the),Saba,,,"NLRC relief goods in Curacao are currently 9,100 tarpaulins, 9,000 jerrycans, 300 shelter kits, 4 generators, 10 solar panels, 2000 kitchen sets. These will be transported to Sint Maarten as soon as possible. Other relief goods are under procurement.",Ongoing,,,195
133,2017/09/14,,Netherlands Red Cross,Red Cross Red Crescent Movement,Response,,YES,,,,Netherlands (the),Saba,,,Coordination with RCRC Movement partners is ongoing for any support and information updates.,Ongoing,,,194
84,2017/09/12,NLRC,Netherlands Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Netherlands (the),Saba,,,"On Saba and Statia, Red Cross volunteers were active in shelter management during Hurricane Jose",Ongoing,,,193
85,2017/09/12,NLRC,Netherlands Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Netherlands (the),Saba,,,Team of 5 delegates from the Netherlands Red Cross (NLRC) transported on Sunday 10 September by military plane to St Maarten. 2 teams of 12 emergency response volunteers are also on route.,Ongoing,,,192
86,2017/09/12,NLRC,Netherlands Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Netherlands (the),Saba,,,"More relief items including ready to eat meals, shelter toolkits and tarps will be transported from the Netherlands shortly.",Planned,,,191
87,2017/09/12,NLRC,Netherlands Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Netherlands (the),Saba,,,NLRC teams expect on Monday preliminary health assessment. Based on this the NLRC will develop its health intervention.,Planned,,,190
88,2017/09/12,NLRC,Netherlands Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Netherlands (the),Saba,,,NLRC is also scaling up on shelter and Restoring Family Links,Planned,,,189
83,2017/09/12,NLRC,Netherlands Red Cross,Red Cross and Red Crescent Movement,Assessment,YES,,,,,Netherlands (the),Saba,,,"The Netherlands Red Cross Safe and Well website has been launched to facilitate the communication inside the disaster affected areas to family members. At present, the Netherlands Red Cross cannot yet conduct active tracing on the ground",Planned,,,188
116,2017/09/14,USAID,NODS,Donor,Response,,YES,,,,Antigua and Barbuda,Antigua,,17500,,Ongoing,,,187
34,2017/09/11,USAID,NODS,Donor,Diaster Response,,YES,,,,Antigua and Barbuda,Antigua,,1600,5 Person Disaster Assistance Response Team (DART): Needs Assessment and Response Coordination,Ongoing,,,186
100,2017/09/13,PAHO,PAHO,UN,Health ,,YES,,,,Antigua and Barbuda,Antigua,,,PAHO Epidemiologist deployed to strengthen disease surveillance and epidemiology. A standardized shelter surveillance system necessary to establish a strong epidemiological surveillance.,Ongoing,,,185
99,2017/09/12,PAHO,PAHO,UN,Health ,,YES,YES,,,Antigua and Barbuda,Antigua,,,"PAHO expert in health disaster management deployed to assist MOH. Health promotion materials, WASH materials, and basic drugs were identified as needed. Routine healthcare services continued in Antigua at the public hospital and 25 health centers. Five health centers have been identified to serve the population that was evacuated from Barbuda. ",Completed,,,184
30,2017/09/11,PAHO,PAHO,UN,Health Coordination,,YES,,Coordination,,Anguilla,Anguilla,Anguilla,,Assessment of Health situation,Completed,,,183
13,2017/09/10,PAHO,PAHO,UN,Health personnel,,YES,,Health,,British Virgin Islands,Tortola,Tortola,,Support Gov. in coordination of health response,Completed,,,182
14,2017/09/10,PAHO,PAHO,UN,Architect,YES,,,Health,,British Virgin Islands,Tortola,Various,,Assess status of health facilities,Completed,,,181
15,2017/09/10,PAHO,PAHO,UN,Engineer,,YES,,Health,,British Virgin Islands,Tortola,Various,,Coordinate the reception of medical supplies and support with logistics,Completed,,,180
16,2017/09/10,PAHO,PAHO,UN,Electrical Engineer,YES,,,,,British Virgin Islands,Tortola,Variuos,,Assessment health facilities,Completed,,,179
17,2017/09/10,PAHO,PAHO,UN,Logistics,YES,,,,,Sint Maarten (Dutch part),St Maarten,Various,,Management and coordination HR and supplies,Ongoing,,,178
18,2017/09/10,PAHO,PAHO,UN,Management,,YES,,Coordination,,Sint Maarten (Dutch part),St Maarten,Various,,Assessment of Health facilities,Completed,,,177
6,2017/09/08,PAHO,PAHO,UN,Architect,YES,,,,,Antigua and Barbuda,Antigua and Barbuda,Antigua,,Assessment of Health Facility in Barbuda finished. Assessing shelters in Antigua,Completed,,,176
7,2017/09/08,PAHO,PAHO,UN,Logistics,,,,Logistics,,Antigua and Barbuda,Antigua and Barbuda,Antigua,,Assessment of Health Facility in Barbuda finished. Assessing shelters in Antigua,Completed,,,175
4,2017/09/06,PAHO,PAHO,UN,Environmental Health,,,,WASH,,Bahamas,New Providence,Various,,Assessment - Technical Support,Ongoing,,,174
1,2017/09/06,PAHO,PAHO,UN,Engineer,YES,,,,,Turks and Caicos Islands,Providenciales,Various,,Assessment of affected health facilities. Different Islands,Completed,,,173
50,2017/09/12,SKNRCS,Saint Kitts and Nevis RC,Red Cross and Red Crescent Movement,Response,,YES,,,,Saint Kitts and Nevis,,,,Red Cross volunteers will work alongside the community to reduce the risk of epidemic outbreaks.,Planned,,,172
51,2017/09/12,SKNRCS,Saint Kitts and Nevis RC,Red Cross and Red Crescent Movement,Response,,YES,,,,Saint Kitts and Nevis,,,,Emergency Operation Centre (EOC) continues active to coordinate relief activities.,Ongoing,,,171
52,2017/09/12,SKNRCS,Saint Kitts and Nevis RC,Red Cross and Red Crescent Movement,Response,,YES,,,,Saint Kitts and Nevis,,,,"AECID has contributed EUR 10,000 to the replenishment of the initial DREF allocated to St. Kitts and Nevis.",Planned,,,170
49,2017/09/12,SKNRCS,Saint Kitts and Nevis RC,Red Cross and Red Crescent Movement,Assessment,YES,,,,,Saint Kitts and Nevis,,,,The Saint Kitts and Nevis Red Cross Society (SKNRCS) is conducting rapid damage assessments.,Ongoing,,,169
53,2017/09/12,SKNRCS,Saint Kitts and Nevis RC,Red Cross and Red Crescent Movement,Assessment,YES,,,,,Saint Kitts and Nevis,,,,IFRC is deploying surge support to the islands to support assessments (cash transfer programming).,Ongoing,,,168
101,2017/09/13,USAID,Samaritan's Purse,NGO,Diaster Response,,YES,,,,Sint Maarten (Dutch part),Dutch St. Martin,,,"Initial US$100,000: To meet immediate humanitarian needs, including 3,400 blankets, 1,200 hygiene kits, and 1,200 tarps and 4 desalination units and water containers to support distributions, to facilitate access to safe drinking water and transport approximately 15 MT of High-Energy Biscuits (HEBs)—sufficient to meet the immediate food needs of an estimated 8,500 people for three days",Ongoing,,,167
11,2017/09/08,IFRC,St Kitts and Nevis Red Cross,Red Cross and Red Crescent Movement,Logistics,,,,Logistics,,Saint Kitts and Nevis,St Kitts and Nevis,St Kitts,,Logistics support for ,Planned,,,166
